,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,speech_type,proceeding,date,speaker_surname,country,speaker_name,country_code,position
4158,4158,4158,4158,4158,General debate,A_69_PV.20_E, 2014-09-30 ,Kutesa,UN,Sam K.  Kutesa,UN,Permanent Representative of the Republic of Uganda — a member country of the African Union — presiding over the General Assembly at its sixty-ninth session. We are fully confident that during his tenure he will advocate for and advance the most pressing issues of our peoples. He can count on Nicaraguas support.We would also like to congratulate the President of the General Assembly at the previous session
4159,4159,4159,4159,4159,General debate,A_69_PV.20_E, 2014-09-30 ,Ferreira,Cabo Verde,Fernando Jorge Wahnon  Ferreira,CPV,Chair of the delegation of the Republic of Cabo Verde.Mr. Ferreira (Cabo Verde) (spoke in Portuguese; English text provided by the delegation): It is with great pleasure
4160,4160,4160,4160,4160,General debate,A_69_PV.20_E, 2014-09-30 ,Dos Santos,Paraguay,José Antonio  Dos Santos,PRY,Minister for Foreign Affairs of the Republic of Nicaragua.Mr. Santos Lopez (Nicaragua) (spoke in Spanish): We are proud to have our African brother
4161,4161,4161,4161,4161,General debate,A_69_PV.20_E, 2014-09-30 ,Meetarbhan,Mauritius,Milan Jaya Nyamrajsingh  Meetarbhan,MUS,Chair of the delegation of the Republic of Mauritius.Mr. Meetarbhan (Mauritius): 
4162,4162,4162,4162,4162,General debate,A_69_PV.20_E, 2014-09-30 ,Beck,Solomon Islands,Collin D.  Beck,SLB,
4163,4163,4163,4163,4163,General debate,A_69_PV.20_E, 2014-09-30 ,Zinsou,Benin,Jean-Francis Régis  Zinsou,BEN,chair of the delegation of the Republic of Benin.Mr. Zinsou (Benin) (spoke in French): 
4164,4164,4164,4164,4164,General debate,A_69_PV.20_E, 2014-09-30 ,Arizaga,Ecuador,Leonardo  Arizaga,ECU,Vice-Minister for Foreign Affairs and Political Integration of Ecuador.Mr. Arizaga (Ecuador) (spoke in Spanish): What an honour it is to be at the General Assembly and to represent Ecuador and our citizens revolution. I would like to begin by congratulating President Sam Kutesa on his election to lead the General Assembly at its sixty-ninth session. I want him to know that he will have the full support of the delegation of Ecuador during his tenure. Similarly
4165,4165,4165,4165,4165,General debate,A_69_PV.20_E, 2014-09-30 ,Pato,Papua New Guinea,Rimbink  Pato,PNG,Minister for Foreign Affairs
4166,4166,4166,4166,4166,General debate,A_69_PV.20_E, 2014-09-30 ,Baptiste,Saint Lucia,Alva Romanus  Baptiste,LCA,Minister for External Affairs
4167,4167,4167,4167,4167,General debate,A_69_PV.20_E, 2014-09-30 ,Dorji,Bhutan,Lyonpo Damcho  Dorji,BTN,Minister of Home and Cultural Affairs of the Kingdom of Bhutan.Mr. Dorji (Bhutan): I wish to begin by conveying the warm greetings of His Majesty the King of Bhutan. It is an honour for me to be present in this grand assembly of nations. Great men and women of our time have graced this rostrum. Yet the magnitude of the challenges we are called on to address today remains formidable — greater than any person or any country we represent.
4168,4168,4168,4168,4168,General debate,A_69_PV.20_E, 2014-09-30 ,Mitchell,Bahamas,Frederick A.  Mitchell,BHS,Minister for Foreign Affairs and Immigration of the Commonwealth of the Bahamas.Mr. Mitchell (Bahamas): Kamalesh Sharma
4169,4169,4169,4169,4169,General debate,A_69_PV.20_E, 2014-09-30 ,Waheed,Maldives,Mohamed  Waheed,MDV,former President and Special Envoy of the President of the Republic of Maldives.Mr. Waheed (Maldives): Allow me to extend warm greetings to the President of the General Assembly upon the assumption of his duties at the sixty-ninth session. I also recognize the exemplary stewardship of Mr. John Ashe
4170,4170,4170,4170,4170,General debate,A_69_PV.20_E, 2014-09-30 ,Santos López,Nicaragua,Samuel  Santos López,NIC,Minister for Foreign Affairs of the Republic of Nicaragua.Mr. Santos Lopez (Nicaragua) (spoke in Spanish): We are proud to have our African brother
4171,4171,4171,4171,4171,General debate,A_69_PV.20_E, 2014-09-30 ,McClean,Barbados,Maxine Pamela Ometa   McClean,BRB,Minister for Foreign Affairs and Foreign Trade of Barbados. Ms. McClean (Barbados): It is indeed a distinct privilege to congratulate His Excellency Mr. Sam Kutesa on behalf of the Government and the people of Barbados on his election as President of the General Assembly at its sixty-ninth session. It is appropriate that I also commend his predecessor
4172,4172,4172,4172,4172,General debate,A_69_PV.20_E, 2014-09-30 ,Elrington,Belize,Wilfred P.  Elrington,BLZ,Attorney General and Minister for Foreign Affairs and Foreign Trade of Belize.Mr. Elrington (Belize): On behalf of the Government and the people of Belize
4173,4173,4173,4173,4173,General debate,A_69_PV.20_E, 2014-09-30 ,Makei,Belarus,Vladimir  Makei,BLR,Minister for Foreign Affairs of the Republic of Belarus.Mr. Makei (Belarus) (spoke in Russian): Humankind has only one past
4174,4174,4174,4174,4174,General debate,A_69_PV.20_E, 2014-09-30 ,Abdullah,Oman,Yousef bin al-Alawi bin  Abdullah,OMN,
4175,4175,4175,4175,4175,General debate,A_69_PV.20_E, 2014-09-30 ,Mohammed,Eritrea,Osman Saleh   Mohammed,ERI,Minister for Foreign Affairs of the State of Eritrea.Mr. Saleh (Eritrea): At the outset
4176,4176,4176,4176,4176,General debate,A_69_PV.20_E, 2014-09-30 ,Lackin,Suriname,Winston G.  Lackin,SUR,Minister for Foreign Affairs of the Republic of Suriname.Mr. Lackin (Suriname): My statement today is made on behalf of the President of the Republic of Suriname
4340,4340,4340,4340,4340,General debate,A_69_PV.6_E, 2014-09-24 ,Erdogan,Turkey,Recep Tayyip  Erdogan,TUR,President of the Republic of Turkey
4341,4341,4341,4341,4341,General debate,A_69_PV.6_E, 2014-09-24 ,Fernández de Kirchner,Argentina,Cristina  Fernández de Kirchner,ARG,undermined by those who believe in violence. Diversity is under assault by extremists who insist that their way is the only way. Disarmament is viewed as a distant dream
4342,4342,4342,4342,4342,General debate,A_69_PV.6_E, 2014-09-24 ,Yudhoyono,Indonesia,Susilo Bambang  Yudhoyono,IDN,President of the Republic of Indonesia
4343,4343,4343,4343,4343,General debate,A_69_PV.6_E, 2014-09-24 ,Niinistö,Finland,Sauli  Niinistö,FIN,President of the Republic of Finland
4344,4344,4344,4344,4344,General debate,A_69_PV.6_E, 2014-09-24 ,Peña Nieto,Mexico,Enrique  Peña Nieto,MEX,President of the United Mexican States
4345,4345,4345,4345,4345,General debate,A_69_PV.6_E, 2014-09-24 ,Hollande,France,François  Hollande,FRA,President of the French Republic
4346,4346,4346,4346,4346,General debate,A_69_PV.6_E, 2014-09-24 ,Abdullah II,Jordan,1962-   King of Jordan Abdullah II,JOR,King of the Hashemite Kingdom of Jordan
4347,4347,4347,4347,4347,General debate,A_69_PV.6_E, 2014-09-24 ,Al-Sisi,Egypt,Abdel Fattah  Al-Sisi,EGY,President of the Arab Republic of Egypt
4348,4348,4348,4348,4348,General debate,A_69_PV.6_E, 2014-09-24 ,Sargsyan,Armenia,Serzh  Sargsyan,ARM,President of the Republic of Armenia
4349,4349,4349,4349,4349,General debate,A_69_PV.6_E, 2014-09-24 ,Al-Thani,Qatar,Sheikh   Tamim bin Hamad Al-Thani,QAT,Amir of the State of Qatar
4350,4350,4350,4350,4350,General debate,A_69_PV.6_E, 2014-09-24 ,Park,Republic of Korea,Geun-Hye  Park,KOR,President of the Republic of Korea
4351,4351,4351,4351,4351,General debate,A_69_PV.6_E, 2014-09-24 ,Bachelet,Chile,Michelle  Bachelet,CHL,President of the Republic of Chile
4352,4352,4352,4352,4352,General debate,A_69_PV.6_E, 2014-09-24 ,Ould Abdel Aziz,African Union,Mohamed  Ould Abdel Aziz,African Union,President of the Islamic Republic of Mauritania
4353,4353,4353,4353,4353,General debate,A_69_PV.6_E, 2014-09-24 ,Ould Abdel Aziz,Mauritania,Mohamed  Ould Abdel Aziz,MRT,President of the Islamic Republic of Mauritania
4354,4354,4354,4354,4354,General debate,A_69_PV.6_E, 2014-09-24 ,Don Felipe VI,Spain,King of Spain  Don Felipe VI,ESP,King of Spain 
4355,4355,4355,4355,4355,General debate,A_69_PV.6_E, 2014-09-24 ,Museveni,Uganda,Yoweri  Museveni,UGA,President of the Republic of Uganda
4356,4356,4356,4356,4356,General debate,A_69_PV.6_E, 2014-09-24 ,Obama,United States,Barack  Obama,USA,President of the United States of America
4357,4357,4357,4357,4357,General debate,A_69_PV.6_E, 2014-09-24 ,Rousseff,Brazil,Dilma  Rousseff,BRA,President of the Federative Republic of Brazil
4358,4358,4358,4358,4358,General debate,A_69_PV.6_E, 2014-09-24 ,Kutesa,UN,Sam K.  Kutesa,UN,our Minister for Foreign Affairs
4331,4331,4331,4331,4331,General debate,A_69_PV.7_E, 2014-09-24 ,Vujanović,Montenegro,Filip  Vujanović,MNE,President of Montenegro
4332,4332,4332,4332,4332,General debate,A_69_PV.7_E, 2014-09-24 ,Hernández Alvarado,Honduras,Juan Orlando  Hernández Alvarado,HND,President of the Republic of Honduras
4333,4333,4333,4333,4333,General debate,A_69_PV.7_E, 2014-09-24 ,Kagame,Rwanda,Paul  Kagame,RWA,President of the Republic of Rwanda
4334,4334,4334,4334,4334,General debate,A_69_PV.7_E, 2014-09-24 ,Jonathan,Nigeria,Goodluck Ebele   Jonathan,NGA,President of the Federal Republic of Nigeria
4335,4335,4335,4335,4335,General debate,A_69_PV.7_E, 2014-09-24 ,Tsakhia,Mongolia,Elbegdorj  Tsakhia,MNG,President of Mongolia
4336,4336,4336,4336,4336,General debate,A_69_PV.7_E, 2014-09-24 ,Solís Rivera,Costa Rica,Luis Guillermo  Solís Rivera,CRI,President of the Republic of Costa Rica
4337,4337,4337,4337,4337,General debate,A_69_PV.7_E, 2014-09-24 ,Kenyatta,Kenya,Uhuru  Kenyatta,KEN,President and Commander-in-Chief of the Defence Forces of the Republic of Kenya
4338,4338,4338,4338,4338,General debate,A_69_PV.7_E, 2014-09-24 ,Medina Sánchez,Dominican Republic,Danilo  Medina Sánchez,DOM,President of the Dominican Republic
4339,4339,4339,4339,4339,General debate,A_69_PV.7_E, 2014-09-24 ,Morales Ayma,Bolivia,Evo  Morales Ayma,BOL,Constitutional President of the Plurinational State of Bolivia
4320,4320,4320,4320,4320,General debate,A_69_PV.8_E, 2014-09-24 ,Meredov,Turkmenistan,Rashid  Meredov,TKM,Minister for Foreign Affairs of the Republic of Turkmenistan.Mr. Meredov (Turkmenistan) (spoke in Russian): First
4321,4321,4321,4321,4321,General debate,A_69_PV.8_E, 2014-09-24 ,Yatsenyuk,Ukraine,Arseniy  Yatsenyuk,UKR,Prime Minister of Ukraine
4322,4322,4322,4322,4322,General debate,A_69_PV.8_E, 2014-09-24 ,Thorning-Schmidt,Denmark,Helle  Thorning-Schmidt,DNK,Prime Minister of Denmark
4323,4323,4323,4323,4323,General debate,A_69_PV.8_E, 2014-09-24 ,Cameron,United Kingdom,David  Cameron,GBR,Prime Minister of the United Kingdom of Great Britain and Northern Ireland
4324,4324,4324,4324,4324,General debate,A_69_PV.8_E, 2014-09-24 ,Maduro Moros,Venezuela,Nicolás  Maduro Moros,VEN,President of the Bolivarian Republic of Venezuela
4325,4325,4325,4325,4325,General debate,A_69_PV.8_E, 2014-09-24 ,Rajapaksa,Sri Lanka,Mahinda  Rajapaksa,LKA,President of the Democratic Socialist Republic of Sri Lanka
4326,4326,4326,4326,4326,General debate,A_69_PV.8_E, 2014-09-24 ,Obiang Nguema Mbasogo,Equatorial Guinea,Teodoro  Obiang Nguema Mbasogo,GNQ,President of the Republic of Equatorial Guinea
4327,4327,4327,4327,4327,General debate,A_69_PV.8_E, 2014-09-24 ,Ilves,Estonia,Toomas Hendrik  Ilves,EST,President of the Republic of Estonia
4328,4328,4328,4328,4328,General debate,A_69_PV.8_E, 2014-09-24 ,Déby Itno,Chad,Idriss   Déby Itno,TCD,President of the Republic of Chad
4329,4329,4329,4329,4329,General debate,A_69_PV.8_E, 2014-09-24 ,Burkhalter,Switzerland,Didier  Burkhalter,CHE,President of the Swiss Confederation
4330,4330,4330,4330,4330,General debate,A_69_PV.8_E, 2014-09-24 ,Zuma,South Africa,Jacob  Zuma,ZAF,President of the Republic of South Africa
4301,4301,4301,4301,4301,General debate,A_69_PV.9_E, 2014-09-25 ,Abbott,Australia,Tony  Abbott,AUS,Prime Minister of the Commonwealth of Australia
4302,4302,4302,4302,4302,General debate,A_69_PV.9_E, 2014-09-25 ,Ponta,Romania,Victor-Viorel  Ponta,ROU,Prime Minister of Romania
4303,4303,4303,4303,4303,General debate,A_69_PV.9_E, 2014-09-25 ,Al Sabah,Kuwait,Jaber Al Mubarak Al Hamad  Al Sabah,KWT,Prime Minister of the State of Kuwait
4304,4304,4304,4304,4304,General debate,A_69_PV.9_E, 2014-09-25 ,Browne,Antigua and Barbuda,Gaston Alphonso  Browne,ATG,Prime Minister and Minister for Finance and Corporate Governance of Antigua and Barbuda
4305,4305,4305,4305,4305,General debate,A_69_PV.9_E, 2014-09-25 ,Rompuy,European Council,Herman van  Rompuy,European Council,President of the European Council
4306,4306,4306,4306,4306,General debate,A_69_PV.9_E, 2014-09-25 ,Renzi,Italy,Matteo  Renzi,ITA,President of the Council of Ministers of the Republic of Italy
4307,4307,4307,4307,4307,General debate,A_69_PV.9_E, 2014-09-25 ,Desalegn,Ethiopia,Hailemariam  Desalegn,ETH,Prime Minister of the Federal Democratic Republic of Ethiopia
4308,4308,4308,4308,4308,General debate,A_69_PV.9_E, 2014-09-25 ,Abe,Japan,Shinzo  Abe,JPN,Prime Minister of Japan
4309,4309,4309,4309,4309,General debate,A_69_PV.9_E, 2014-09-25 ,Humala Tasso,Peru,Ollanta  Humala Tasso,PER,President of the Republic of Peru
4310,4310,4310,4310,4310,General debate,A_69_PV.9_E, 2014-09-25 ,Mugabe,Zimbabwe,Robert Gabriel  Mugabe,ZWE,President of the Republic of Zimbabwe
4311,4311,4311,4311,4311,General debate,A_69_PV.9_E, 2014-09-25 ,Hassanal Bolkiah,Brunei Darussalam,Sultan of Brunei Darussalam  Hassanal Bolkiah,BRN,Sultan and Yang Di Pertuan of Negara Brunei Darussalam
4312,4312,4312,4312,4312,General debate,A_69_PV.9_E, 2014-09-25 ,Josipovic,Croatia,Ivo  Josipovic,HRV,President of the Republic of Croatia
4313,4313,4313,4313,4313,General debate,A_69_PV.9_E, 2014-09-25 ,Rajaonarimampianina Rakotoarimanana,Madagascar,Hery Martial  Rajaonarimampianina Rakotoarimanana,MDG,President of the Republic of Madagascar
4314,4314,4314,4314,4314,General debate,A_69_PV.9_E, 2014-09-25 ,Santos Calderón,Colombia,Juan Manuel  Santos Calderón,COL,President of the Republic of Colombia
4315,4315,4315,4315,4315,General debate,A_69_PV.9_E, 2014-09-25 ,Marzouki,Tunisia,Mohamed Moncef  Marzouki,TUN,President of the Republic of Tunisia
4316,4316,4316,4316,4316,General debate,A_69_PV.9_E, 2014-09-25 ,Rouhani,Iran,Hassan  Rouhani,IRN,President of the Islamic Republic of Iran
4317,4317,4317,4317,4317,General debate,A_69_PV.9_E, 2014-09-25 ,Mahama,Ghana,John Dramani   Mahama,GHA,President of the Republic of the Niger
4318,4318,4318,4318,4318,General debate,A_69_PV.9_E, 2014-09-25 ,Kiska,Slovakia,Andrej  Kiska,SVK,President of the Slovak Republic
4319,4319,4319,4319,4319,General debate,A_69_PV.9_E, 2014-09-25 ,Issoufou,Niger,Mahamadou  Issoufou,NER,President of the Republic of the Niger
